"question","qanc_pre","qanc_post","ane_pre","ane_post","htn_pre","htn_post","gdm_pre","gdm_post","aph_pre","aph_post"
"Q 1",34.2,49.1,81.7,89.2,91.8,95.2,17.8,63.5,42.8,73
"Q 2",79.3,88,78,90.1,52.3,69,17.5,52,83.3,90.7
"Q 3",64.1,75,70.6,81.9,72.4,84.1,36.8,55.1,58.7,74.9
"Q 4",51.2,63.5,71.1,78.5,83.7,82.3,42.8,56.4,90.5,95.5
"Q 5",97.4,98.8,98,98.9,82.2,91.8,84.5,94.3,49.3,74.8
"Q 6",73.8,84,68.2,75.2,43.7,69,85.8,89.5,75.1,84.7
"Q 7",81.7,94.3,53.1,57.9,85.4,86.8,25,57.4,84.6,90.6
"Q 8",83.4,92.3,42.2,54.2,78.7,89,66.2,61.1,51.6,63.9
"Q 9",56.5,82.1,41.8,59.9,37.9,53.7,86,89.3,69.6,83
"Q 10",76.3,85.5,61.8,66.5,73.9,77.6,16.8,38.7,59.2,73.9
