"question","qanc_pre","qanc_post","ane_pre","ane_post","htn_pre","htn_post","gdm_pre","gdm_post","aph_pre","aph_post","epi_pre","epi_post"
"Q 1","48.3","65.6","78.3","83.0","92.6","95.6","43.7","67.9","59.3","79.0","40.6","62.8"
"Q 2","79.8","87.9","78.5","91.9","67.0","81.3","31.0","66.7","85.5","92.1","66.5","72.0"
"Q 3","52.4","72.2","89.6","94.7","90.8","95.7","30.8","43.4","81.7","87.1","85.6","83.2"
"Q 4","62.0","69.8","62.6","77.4","89.2","87.5","46.8","58.6","92.5","95.1","95.4","96.0"
"Q 5","98.4","99.5","97.8","98.0","76.0","83.6","67.4","73.7","80.6","90.7","91.3","92.7"
"Q 6","88.9","94.6","69.7","77.0","48.4","63.6","96.8","98.0","96.1","96.1","50.5","50.1"
"Q 7","92.6","97.1","53.0","53.4","87.2","88.2","26.4","34.0","97.3","97.9","67.6","86.0"
"Q 8","87.5","94.1","62.8","70.1","88.0","91.5","57.4","52.8","62.0","64.1","81.5","83.1"
"Q 9","48.0","81.5","62.8","78.0","59.4","62.9","97.0","97.6","88.1","93.2","35.5","38.5"
"Q 10","81.4","86.4","86.8","89.1","90.9","92.2","11.2","40.9","77.6","85.1","33.4","51.8"
