"question","tb_pre","tb_post","sob_pre","sob_post","lscs_pre","lscs_post","jau_pre","jau_post","hrt_pre","hrt_post","epi_pre","epi_post"
"Q 1",44.7,54.3,90,92.9,83.7,89.4,30.6,71.8,85.5,89.6,32.8,66.5
"Q 2",87,90.2,61.2,57.7,78,83.5,31.9,53.3,76.5,82.1,72.8,77.4
"Q 3",47.3,49.2,31.9,54.5,76.9,82.7,19.9,69.5,62.6,71,81.5,84.7
"Q 4",52.2,60,52.2,49.4,75.8,74.9,79.4,83.1,90.4,93.5,81.2,84.6
"Q 5",57.6,63.1,40.6,64.2,42.9,49.3,35.5,72.7,83.7,84.4,41.9,40.8
"Q 6",48.4,66.4,15.1,14.7,86.6,86.3,82.3,86.8,75.7,81.1,62.3,81.5
"Q 7",79.4,84.1,77.5,81.8,64.2,76.1,68.5,77.1,78.1,82,62.4,68.4
"Q 8",45,49.6,84.3,86.6,80.9,86.5,33.6,65.1,86.2,85.5,33.5,31.4
"Q 9",76.9,84.2,78.3,86.6,85.6,87,21.1,71.8,69,76.5,29.5,46.5
"Q 10",0,0,82.6,88.8,73.9,80,0,0,0,0,0,0
